index,sentiment,text
924,Negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
925,Negative,"shocked--shocked--so much #GOPDebate analysis is all style and performance, nothing about policy--war, no rape exception, cut, cut cut"
926,Negative,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates"
927,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
928,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
929,Negative,The #GOP fuck-ups goin' baaaack to back. Keep the wars goin' baaaaack to back. #GOPDebates #MeekvsDrake
930,Negative,"RT @SalMasekela: Senator Cruz, any word from God? Just spit out my tequila. Damn you Megyn Kelly, it was the expensive kind. #GOPDebates"
931,Negative,RT @davidsingletary: 11:11 #MakeAWish (and please let it be for better future leaders for our country after watching this #GOPDebate )
932,Negative,@FoxNews total failure #GOPDebate canceled fox news on my cable. Done https://t.co/3z5PR1Ue7n
933,Negative,"Oh, we'll hear them talk about discrimination on those who discriminate others but LGBTS being discriminated is ok to them.  #GOPDebates"
934,Negative,Ok goodbye #GOPdebates time for #JonVoyage
935,Negative,Why does the media call Carly Fiorina the only female GOP candidate? Do the Democrats have more than one? Or anyone not white? #GOPDebate
936,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
937,Negative,Summary is the #GOPDebate: Status quo shit show
938,Positive,".@howardfineman verdict on #GOPdebate: Trump Trips, but Trumpism Wins
http://t.co/jaPp3PBI8u"
939,Positive,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
940,Negative,@Sojourners Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube
941,Negative,RT @DaneCook: The #GOPDebate is like watching The Bachelorette without the rose ceremony.
942,Positive,Just had a great time taping @News12NJ for Power&amp;Politics. Had fun with @waltkane talking about #GOPDebate. Thanks @KarinAttonito. Watch it
943,Positive,Ben Carson at last night's #GOPDebate http://t.co/efv4ZagbAW
944,Negative,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates
945,Negative,Last night at the #GOPdebate all I saw was a bunch of Rich and Old despots with ZERO solutions to our nations problems #uniteblue #cnn #p2
946,Positive,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the US󾓦

#GOPDebate #WakeUpAmerica #CruzCrew htt…"
947,Negative,"Since @FoxNews wants to talk about campaign donations, let's talk.
@rupertmurdoch @realDonaldTrump
#GOPDebate http://t.co/7n0VLjf2sN"
948,Positive,"@marcorubio As part of the Luntz focus group, I can report you received the most consistent &amp; highest favorable ratings!
#GOPDebate"
949,Negative,RT @ericstonestreet: Trump has Cam hands. #GOPDebates
950,Negative,"RT @goodrichgevaart: ""the military's favorite song is Break Stuff by Limp Bizkit""- @MikeHuckabeeGOP #GOPDebate"
951,Positive,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
952,Negative,"RT @RWSurferGirl: Bottom Line:

Fox News lost the debate.

All the candidates have more integrity. 

#GOPDebate  🇺🇸"
953,Negative,Let's talk about how big my company is and how many employers I have. @realDonaldTrump #GOPDebates
954,Negative,"RT @hemantmehta: ""I bribed politicians and it worked! And that's why you should vote for me."" - Trump #GOPdebate"
955,Positive,Best closing statement: @RealBenCarson #GOPDebate
956,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
957,Negative,"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…"
958,Negative,"Someone here just said, ""Jeb looks more like a vice-president."" #GOPDebates"
959,Negative,RT @kharyp: FACT CHECK: GOP candidates veer from the truth in 1st debate http://t.co/IGipTiFeUA #GOPDebate http://t.co/Hp5v9Gy9Kf
960,Positive,@rhondalevaldo @JohnKasich brought up initiatives but journalist moderators didn't follow up w/ him. @TalkPoverty #GOPDebate
961,Positive,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
962,Negative,"RT @DillonFox5: No surprise here. 
Trump: ""I don't have time for political correctness"" 
 #fox5atl #GOPDebate"
963,Negative,"RT @BettyFckinWhite: So many great jokes on Twitter tonight about the #GOPDebates, but not as many as there were on stage."
964,Positive,"RT @Liz_Wheeler: My girl @CarlyFiorina killed it. She's presidential, wildly intelligent, experienced, sharp, practical, strategic &amp; strong…"
965,Negative,"RT @PBoylen: @ScottWalker Russia &amp; China know more about Hillary Clinton's emails than our own Congress! Boom!
#RedNationRaising #GOPDebates"
966,Negative,RT @Lattisaw: No minority in their right mind should be voting for anyone of these #GOP candidates! They don't have a clue about our issues…
967,Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
968,Positive,Gov @ScottWalker gave a succinct and excellent answer to respond to putin. #GOPDebates
969,Negative,"gun deaths in the US are expected to surpass 33,000 this year. Issue the #GOPDebate didn't raise: gun control."
970,Positive,"@BenCarson2016 @SenTedCruz believable

#GOPDebate 

@megynkelly so #polished  #tough

@GovMikeHuckabee funny guy

Great #theater"
971,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
972,Positive,"RT @kwrcrow: Dr. Carson remark on DC having half a brain, best line #GOPDebates."
973,Positive,@notaxation Thank you for your thoughts on the #GOPDebate. How long would you think some of the round 1 candidates will hang around?
974,Positive,Holy crap! &gt; http://t.co/q81ysLXE47 ~ this lady is as sharp as it gets &gt; @CarlyFiorina ~ watch out boys! #GOPDebate
975,Negative,RT @Catronicus: Trump's Obamacare response was so dumb that it defies imagination #GOPDebate #DumpTrump
976,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
977,Negative,RT @JohnFugelsang: Tonight I am live-heckling #GOPDebate with @FrankConniff and @MykaFox at @QEDAstoria and we are sold out like Rand Paul.
978,Negative,RT @RachLWhitehurst: I can't tell if these are just bad cramps or my uterus trying to flee the country as I watch the #GOPDebate
979,Negative,"RT @mikewhitmore: I didn't watch the #GOPDebates tonight, so I was going to ask who won. Then I figured, I did."
980,Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
981,Negative,NO MORE BUSHS... FUCK YOU JEB #GopDebates
982,Negative,Heaven help us if this is our new pres. #GOPDebate #Bernie2016 http://t.co/sV8cmCGaRz
983,Negative,RT @dnaples3: @sallykohn @graceslick77 After last night's #GOPDebate there can be no doubt the corporatocracy rules.
984,Negative,RT @kwrcrow: @marilynarndt @princeofbordue1 I think @megynkelly was vicious and very unprofessional last night. She lost me also. #GOPDebat…
985,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
986,Positive,RT @monaeltahawy: Love Liza's cartoons! #GOPDebates  https://t.co/VkhQN0s7N4
987,Negative,How @realDonaldTrump imagined he performed at last night's #GOPDebate? https://t.co/J1UhtFQzii
988,Negative,"RT @laprofe63: They were all #LOSERS in my book. But I'm a progressive, pushing country in ""wrong"" direction. #GOPDebate  https://t.co/4aPV…"
989,Positive,Christie practiced.  Lots of numbers.  #GOPDebates
990,Negative,RT @britt27ash: Current mood re: #GOPDebate http://t.co/GFSNEDXEoj
991,Positive,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates"
992,Negative,RT @DavidTATL: This! biggest loser last night was @megynkelly who came across as a condescending cat! #boycott her show! #GOPDebate https:/…
993,Negative,RT @SupermanHotMale: NO MORE BUSHS... FUCK YOU JEB #GopDebates
994,Positive,Carly Fiorina made the point that she will be able to attack Hillary Clinton.  Love it.  She is unafraid.  #GOPDebates
995,Negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
996,Negative,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
997,Positive,RT @SooperMexican: Aww 100% support among cute little Cruz girls RT @TheFriddle: Love this. @tedcruz and his daughters post #GOPDebate http…
998,Negative,"RT @emily_hohman: Yes, please, let's hear more about what women should do with their bodies from people WHO ARE NOT WOMEN. #GOPDebate"
999,Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
1000,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
1001,Negative,"RT @edeweysmith: I wonder if Donald Trump will still be leading in the polls tomorrow....
#GOPDebate  #presidentialdebate"
1002,Negative,"@megynkelly reminded me of @HillaryClinton last night, and that's NOT a compliment! #GOPDebate #GoTrump @realDonaldTrump"
1003,Negative,The format for the next #GOPDebate has to change. Make it 3hrs. 8:00 to 11:00 with all candidates on stage. We deserve this! #outnumbered
1004,Negative,"RT @SupermanHotMale: Dear Marco Rubio, just shut the fuck up, you are neither entertaining or wise. #GopDebates"
1005,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
1006,Negative,RT @Izac_Wright: THIS HAPPENED: Not a single mention of #votingrights on #VRA50 in tonight’s #GOPdebates
1007,Negative,"I know RWers like to show power,but did @FoxNews have to rub the 5:00 #GOPdebate candidates noses in the fact that THEY r the #JVteam?"
1008,Negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
1009,Negative,RT @TC_Watkins: @DomenicoNPR @MediaEqualizer crazy that Cruz only got 3 mins at debate #gopdebate
1010,Positive,.@costareports @SCClemons HRC Became 11th #GOPDebate Candidate Last Night @CarlyFiorina &amp; @JohnKasich Topped Field! https://t.co/gOl1jgQp7j
1011,Negative,Are there ANY people of color in this #GOPDebate audience? I’m asking for a friend. #GOPDebate
1012,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
1013,Negative,"#ableg #gopdebate On how the #lgbtq community is careing, kind and hospitable and Christian faith is not ""hateful.""  http://t.co/MGsU7VMaIO"
1014,Negative,"But @realDonaldTrump supporters are saying he was treated ""unfairly?"" Yea... Right. #GOPDebate http://t.co/nJrwoYrrzM"
1015,Negative,I don't give a flying fuck about what Hollywood celebs think about last night's #GOPDebate. They know who they want to win already. F-them.
1016,Negative,RT @patriotmom61: Lots of rhetoric on the #GOPDebate stage from political neophytes &amp; newbies but no actual record of accomplishments. #Exp…
1017,Negative,RT @VacantLuxuries: Mike Huckabee looks like Mr. Tweedy from Chicken Run #GOPDebate # chickenpies http://t.co/PLVdWlmarS
1018,Negative,RT @KellyAnnBraun: Kasich knows NOTHING of working class tired of that f-ing mailman gig #NeverVote4Kasich #GOPDebate #TBATs @OhioBATs http…
1019,Negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
1020,Negative,"RT @SupermanHotMale: You liar, Trump, You came out against the war in Iraq because your other businesses went belly up #GopDebates"
1021,Negative,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates"
1022,Positive,Advice to each #GOP candidate in order of how I think they finished 5th place Marco Rubio Good job keep up the same #gopdebate #tcot #p2
1023,Negative,@HumanityRead Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube
1024,Negative,"I can't stand hearing politicians evade questions and use the question asked to, instead, give their spiel. #gopdebate"
1025,Negative,"@FoxNews @megynkelly @BretBaier court @realDonaldTrump to boost their ratings, but try to undermine him at the #GOPDebate #TheDonaldOnTop"
1026,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
1027,Negative,#GOPDebate REAL “AMERICAN IDOL”: ELECTIONS AS AUDITIONS: Whose Consent Counts &amp; How Decisions Are Made... http://t.co/bLeoBY7r7N
1028,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
1029,Negative,RT @ConnieSchultz: Every candidate who wants to repeal Obamacare should have to answer: Which Americans lose their healthcare? Name your vi…
1030,Negative,RT @BiasedGirl: This douchebag doesn't know how to talk to decent people. Bill Clinton get Your Boy on a Leash #DumpTrump #GOPDebate https:…
1031,Negative,RT @PruneJuiceMedia: Donald Trump admits on national TV that he bought candidates in the past. Oh joy. #GOPDebate
1032,Negative,Trump calling @megynkelly a bimbo is reprehensible. This is about choosing a candidate for president NOT the Jerry Springer hour. #GOPDebate
1033,Negative,RT @dick_nixon: He mentioned Schiavo there. They crucified him for that and rightly so. #GOPDebate
1034,Negative,"It's called ""screaming like a fascist"" for a reason #GOPDebates"
1035,Negative,"RT @Farrellelisms: Please end these excruciating introductory childhood anecdotes, I am trying to stay awake #GOPDebates"
1036,Positive,RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
1037,Negative,"RT @kesgardner: Of course, the AssClown won't pledge not to run as a third party candidate. #GOPDebate"
1038,Positive,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
1039,Negative,RT @peelster123: #GOPDebate Merica Check the BACK of this OUT!!!  Please #RT http://t.co/6kKaltCuTa
1040,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
1041,Negative,"RT @Samstwitch: Wow, everybody's tweeting about @FoxNews', @megynkelly's bad treatment of @realDonaldTrump and #GOPDebates!  Agreed!"
1042,Negative,That debate was a joke #GOPDebate
1043,Negative,So who won last nights  #GOPDebate?....Hilary Clinton by a long shot!
1044,Negative,RT @shannonrwatts: The #NRA blacklists individuals and companies that buck their orthodoxy or offer any measures to reduce gun violence #GO…
1045,Negative,RT @JoeMyGod: There is nothing better than watching these clowns out-Jeebus each other. NOTHING. #GOPDebate
1046,Negative,RT @siobhan_ogrady: The most important thing you'll see tonight. #GOPDebate http://t.co/40GJtBJOB5
1047,Negative,The #GOPdebates in a nutshell... http://t.co/5UwVybTuB3
1048,Negative,"RT @pattonoswalt: ""They call me EAT-O Corleone."" -- Chris Christie. #GOPDebate"
1049,Negative,"TaylorTwo9: RT WayneDupreeShow: Disagree all you want

#GOPDebate was hit job on realDonaldTrump and calculated mu… http://t.co/AuhlNZa3Ww"
1050,Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
1051,Negative,RT @goldietaylor: Huckabee. #GOPDebates http://t.co/Zy12bdUkx9
1052,Negative,#FOXNEWS focus groups are just as biased as the 3 Stooges who moderated the #GOPDebate. #FOXNEWS will lose viewers. #CNN #MSNBC #CBS #ABC
1053,Negative,"@realDonaldTrump won, @FoxNews @megynkelly Chris 'goofy glasses' Wallace lost favor. #GOPDebates"
1054,Negative,@RandPaul is from Kentucky? Shouldn't he sound like #ColonelSanders? #MakesYouWonder #IsHeAnImpostor #GOPDebates
1055,Negative,I really liked many of the candidates as people but not so much as future Presidents. #GOPDebate @HappeningNow
1056,Negative,"Spot on take on 2016 GOP field following #GOPDebate: ""not good for the party, but makes excellent TV"" http://t.co/xTRt1MbcL3 #iacaucus"
1057,Negative,RT @samswey: Does respecting life include black lives taken by police??? #GOPDebate
1058,Negative,"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…"
1059,Positive,"From watching #GOPDebate last nite, now know Rubio, Walker &amp; Santorum share belief they'd rather see wives die thn ""let"" thm get abortions."
1060,Negative,@KHOU @JebBush #GOPDebates he looks down on the base
1061,Positive,"RT @JoshKivett: S/O to our @GOP volunteers &amp; #RLI Fellows in FL, NC &amp; VA for great #GOPDebate Watch Parties tonight! #LeadRight2016 http://…"
1062,Negative,RT @EthanEllis32: Pretty sure Republicans consider Straight Outta Compton to be a horror movie #GOPDebate #DebateWithBernie
1063,Positive,"Carson getting in some zingers at the end. Not riding for him at ALL, but I'll give him credit for being a medical trailblazer. #GOPDebates"
1064,Negative,Very disappointing!!! Energy policy finds little room in Republican debate http://t.co/Uua4a1OX9F (via @DCExaminer) #EagleFord #GOPDebate
1065,Negative,If there's one thing we can be certain of... It's that @FoxNews does not want @realDonaldTrump to win. #GOPdebates
1066,Positive,I'm really impressed with @RandPaul 's ability to NOT roll his eyes at @ChrisChristie #GOPDebate
1067,Negative,"Carson, Carson, Carson: dammit man! Say the words racism and white supremacy to that audience! #BlackLiveMatter #GOPDebates"
1068,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
1069,Positive,@kimguilfoyle #GOPDebates  Walker. Christie and Trump
1070,Negative,RT @CarolHello1: #GOPDebate Shocking Extreme Bias ... https://t.co/Oh7WNjM0WC
1071,Negative,RT @TonyLoyd: Who won the #gopdebate? Billionaires &amp; bankers. Who lost? The rest of us. #debatewithbernie http://t.co/RFpNbtsoW6 http://t.c…
1072,Negative,RT @MarkMMcClain: The Left always tells us of whom they are most afraid. #GOPDebate  https://t.co/ib6o7f755V
1073,Negative,I bet Todd Palin consults Rand Paul on where to get his goatee trimmed when he visits KY #GOPDebate
1074,Negative,I also would say that Jeb Bush was as wooden as Al Gore. #GOPDebates #NoMoreBushes http://t.co/2W2ZQjSkBu
1075,Positive,Good explanation as to why #Trump surges ahead of other #cuckservative candidates. #GOPDebate http://t.co/hagmnn1Tv7 http://t.co/WOkhF3sU88
1076,Negative,RT @LWilsonDarlene: #Hillary spent #GOPDebate night hanging out with a rude rapper &amp; reality show queen who's claim to fame is a sex video.…
1077,Negative,"RT @monaeltahawy: Oh boy: ""social issues"" = GOP code for who can control women's bodies &amp; sexuality the most. Hold on tight, TwitterLand  #…"
1078,Negative,"RT @DavidRomeiPHD: #GOPDebate was like #JackNicholson driving his fellow patients around in ""One Flew Over the Cuckoos Nest."" http://t.co/Z…"
1079,Negative,"AWWWWW... poor Donald RT @Oregonian: Trump on #GOPdebate: ""The questions to me were not nice."" http://t.co/Npznjv5StI http://t.co/MdQP4oWhdo"
1080,Negative,Jeb is trying to blink the question away. #GOPDebates
1081,Positive,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
1082,Negative,"""I never said that, I think rapes women should definitely have that baby!"" Marco Rubio #GOPDebates"
1083,Positive,Well yeah...#GOPDebate @GOP @RealBenCarson @megynkelly #CarsonWins #BC2DC16 #ImWithBen #WinBenWin #InItToWinIt  https://t.co/YrhbygJeMv
1084,Negative,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates
1085,Negative,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate
1086,Positive,"bentonlee1: RT DrMartyFox: #Trump Wins Drudge 
Debate Poll 

➡️ By A Landslide 

#TedCruz #2 

#GOPDebate #PJNET🇺🇸… http://t.co/6lZ5pSAFMS"
1087,Positive,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates"
1088,Negative,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates
1089,Positive,RT @americansunited: Blog: God made a cameo appearance in last night's #GOPDebate. We're sure there will be more to come. http://t.co/01llp…
1090,Negative,"RT @SupermanHotMale: Dear Jeb Bush, Your Record, Sir is clear, you are a fucking ememy of the voting public... PERIOD. #GopDebates"
1091,Negative,"And the winner of the 1st #GOPDebate is.... @HillaryClinton !!!

What a mob of lying pandering jackasses ...."
1092,Negative,".@ScottWalker was right in #GOPDebate last night.  With feckless incompetent @USOPM, China knows @hillaryclinton's emails better than we do"
1093,Negative,I'm so happy that my family is turning against Trump and they did watch the #GOPDebate last night
1094,Negative,"RT @ReformedBroker: Rubio just blamed Dodd-Frank for wiping out banks. He has that chronology disease from Memento, you guys. 

#GOPDebate"
1095,Negative,"RT @monaeltahawy: Oh boy: ""social issues"" = GOP code for who can control women's bodies &amp; sexuality the most. Hold on tight, TwitterLand  #…"
1096,Positive,"RT @ryanbhorn: @Nielsen to release ratings this afternoon. The rumor: 10 mil viewers, 16 share.  Making @foxnews undisputed winner of  #GOP…"
1097,Negative,@CaroMT your baby's life is not yours to destroy and be sold on the open market #tcot #GOPDebates
1098,Positive,"best part of #GOPDebate -@realDonaldTrump telling @megynkelly ""we aint cool for real &amp; i dont have to be nice to yo ass"""
1099,Negative,An assassination attempt  ...now GOP has to deal w/ th consequences #GOPDebate #GOPDebates @nlsnt1
1100,Negative,"RT @coreylim_: get a uterus, then we'll talk. #GOPDebate"
1101,Negative,RT @fieldnegro: GOP respects life....just not black ones. #GOPDebates
1102,Negative,"RT @DadandBuried: Republicans love referencing the Constitution but REALLY seem to misunderstand the whole ""separation of church and state""…"
1103,Negative,Been on my mind all day. @megynkelly @FoxNews &amp; Chris Wallace you did a terrible job last night. You were losers of the night. #GOPDebate
1104,Negative,Trump proving to be a stellar statesman.  #not. #GOPDebates
1105,Positive,"Cruz has class &amp; truth, that gets my vote! #GOPDebate"
1106,Negative,"RT @juliaioffe: An elegant, witty round-up of last night's #GOPDebate by @tnyCloseRead http://t.co/cW0rAc9wQh"
1107,Negative,RT @amandagutterman: Trump wants to treat Mexicans like the white walkers #GOPDebate
1108,Negative,"RT @RavingRaver: My response when @megynkelly tried to call @realDonaldTrump a sexist: ""CAN'T STUMP THE TRUMP!"" #GOPDebate"
1109,Negative,RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…
1110,Negative,#GOPDebate #TrumpsHair + #cats Enough said. http://t.co/zh6koToIiF
1111,Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
1112,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
1113,Negative,"#GOPdebates Hey Huckabee, I don't think that ""pimps"" &amp; ""prostitutes"" can file for social security benefits based on their jobs..."
1114,Negative,"RT @SupermanHotMale: Dear friends, it may seem like this is fun to me but I'm really mad about how Republicans treat people who can't affor…"
1115,Negative,RT @theReal_Rebel: That was a great Comedy Show last night!  #GOPDebate
1116,Negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
1117,Negative,"Wait, is God coming to the #GOPDebates ?"
1118,Negative,"For someone who doesn't care who he offends, really gets offended easily... #GOPDebate #talkingaboutyoutrump @megynkelly"
1119,Negative,@EODChick @GovMikeHuckabee I thought I had seen it all. #GOPDebates
1120,Positive,Politics Nerd Moment: On vacation. Lost my chill when I looked up @ the bar TV to see I was missing the #GOPDebate reading play by plays now
1121,Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
1122,Negative,"#BlackLives don't matter, apparently, to Republican candidates for president  http://t.co/8rfevFWSXx / or to @FoxNews #uniteblue #GOPDebate"
1123,Positive,#GOPDebate Trump trumped all Bush bushed Walker weak Huckabee/Cruz loonies-as-usual Carson insignificant Rand sucks Fiorina hysterical
1124,Negative,#GOPDebate in a nutshell via Vote True Blue 2016 http://t.co/5rfh5zbnPm
1125,Positive,"""Anyone have any more questions?"" #TrumpCrush #GOPdebates http://t.co/bDUX3nKyTe"
1126,Negative,"@sdblanke Bush Cheney raped, plundered, pillaged the whole WORLD b4 they left office. Obama killed one REALLY BAD GUY + is black. #GOPDebate"
1127,Positive,"Only candidate to mention ""race"" was Carson who only sees brains, so. #GOPDebate"
1128,Negative,RT @mozgovaya: 10 men on stage discussing one woman. @HillaryClinton #GOPdebates
1129,Negative,"RT @cat_1012000: Thanks @FoxTV for holding the #GOPDebates Now millions of people KNOW you're no better or balanced then MSN, ABC, CBS... #…"
1130,Negative,"RT @monaeltahawy: Oh boy: ""social issues"" = GOP code for who can control women's bodies &amp; sexuality the most. Hold on tight, TwitterLand  #…"
1131,Negative,RT @slackadjuster: As A Christian Preacher Huckabee Sure Is Close Minded &amp; Judgemental  Women Gays But Stood With Josh Duggar #GOPDebate ht…
1132,Negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
1133,Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
1134,Negative,NONE IS TALKING JUSTICE IN AMERICA #GOPDebate http://t.co/h9AgXpuZ4a
1135,Positive,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
1136,Negative,Had VERY weird/slightly scary dreams last night and I'm blaming the #GOPDebate
1137,Positive,"I had high expectations for last night's #GOPDebates and boy @misl4fun were they met. They were combative, spontaneous (mostly),"
1138,Positive,"RT @ChrisChristie: We have to stop worrying about being loved &amp; start worrying about being respected. #TellingItLikeItIs #GOPDebate
https:/…"
1139,Negative,RT @monaeltahawy: Paging the Donald: you can't beat Jamaica in soccer either #GOPDebates
1140,Negative,"@Edenza @bobcesca_go Oh God, please. I can't even form the words to say how stupid this topic is about God. She's pissed. #GOPdebates"
1141,Negative,RT @AndrewWMullins: Correction. He now thinks that @FrankLuntz is worse than Rosie O'Donnell... #GOPDebate   https://t.co/9oxC7VGK45
1142,Negative,"RT @TheBaxterBean: ""If guns don't kill people why are they strickly forbidden anywhere near #GOPdebate?""

#DebateQuestionsWeWantToHear http…"
1143,Positive,Good luck to everyone competing in the #GOPDebate in Blaine this weekend! @HappyCowsUlti @MNSuperiorU16 @texas_tango @DeadriseDC
1144,Positive,"Christie, Huckabee, Walker get top marks... who didn't score well last night http://t.co/3aFiekciTk #GOPDebate"
1145,Negative,"RT @SupermanHotMale: Scott Walker: Don't do business with Iran, just the crooked Koch Brothers... Way to go Dickhead Walker #GopDebates"
1146,Negative,#GOPDebate is a horrible tag. I know I'm not going to vote for any of the candidates but that fact that white America is ok with them...
1147,Positive,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates"
1148,Positive,"RT @StMarysAtLarge: Taking risks with his candidacy last night, #ScottWalker calls #Jesus by name.

It was worth it.

#Courage #GopDebate h…"
1149,Negative,"If you are a woman and you vote for Donald Trump, no. #GOPDebate #Fridaynewstoundup"
1150,Negative,"RT @DMBcommandments: Disappointed that @FoxNews moderators did not ask the most important question: ""What is your favorite Dave Matthews Ba…"
